Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values
9.3,51.9,L,,,,,,13.2,317.8,M,,,,,,30.2,100.8,L,,,,
9.3,94.6,L,,,,,,13.2,382.9,L,,,,,,30.2,247.2,L,,,,
9.3,179.8,L,,,,,,14,27.1,L,,,,,,31,206.9,M,,,,
9.3,231.7,M,,,,,,14,87.6,M,,,,,,31,330.2,M,,,,
10.1,56.6,M,,,,,,14,123.2,M,,,,,,31.8,313.1,M,,,,
10.1,61.2,L,,,,,,14,262.7,M,,,,,,32.6,44.2,L,,,,
10.1,121.7,L,,,,,,14,299.2,L,,,,,,32.6,268.2,L,,,,
10.1,130.2,L,,,,,,14.7,145.7,L,,,,,,33.1,73.7,NC,,,,
10.1,141.8,S,,,,,,14.7,174.4,M,,,,,,33.3,85.3,L,,,,
10.9,113.9,L,,,,,,14.7,222.4,L,,,,,,33.5,130.1,L,,,,
10.9,127.1,L,,,,,,14.7,368.9,M,,,,,,34.1,115.5,L,,,,
10.9,185.2,L,,,,,,16.3,59.7,L,,,,,,34.1,144.9,L,,,,
10.9,190.7,NC,,,,,,16.3,163.5,L,,,,,,34.1,167.4,M,,,,
10.9,195.3,L,,,,,,16.3,180.6,L,,,,,,34.9,343.4,M,,,,
10.9,204.6,M,,,,,,16.3,239.5,L,,,,,,35.7,15.5,L,,,,
11.6,10.1,L,,,,,,17.1,76.7,L,,,,,,35.7,176.7,L,,,,
11.6,20.9,M,,,,,,17.1,107.7,L,,,,,,35.7,216.2,L,,,,
11.6,31.8,L,,,,,,17.1,249.6,S,,,,,,35.7,293.7,NC,,,,
11.6,38.8,L,,,,,,17.8,3.9,L,,,,,,36.4,196.9,L,,,,
11.6,67.4,L,,,,,,17.8,19.4,L,,,,,,36.4,282.1,NC,,,,
11.6,72.9,L,,,,,,17.8,41.1,S,,,,,,37.1,65.2,NC,,,,
11.6,85.3,L,,,,,,17.8,51.2,L,,,,,,37.2,54.3,L,,,,
11.6,106.2,L,,,,,,17.8,93.8,L,,,,,,37.2,123.2,NC,,,,
11.6,133.3,L,,,,,,17.8,134.9,S,,,,,,38,27.9,L,,,,
11.6,148.8,M,,,,,,17.8,281.3,M,,,,,,38,250.3,L,,,,
11.6,170.5,L,,,,,,17.8,311.6,M,,,,,,38.8,93.8,L,,,,
11.6,175.2,L,,,,,,17.8,330.2,M,,,,,,38.8,104.6,M,,,,
11.6,226.3,M,,,,,,17.8,340.2,L,,,,,,38.8,226.3,L,,,,
12.4,15.5,M,,,,,,17.8,348.8,L,,,,,,39.5,155,L,,,,
12.4,47.3,L,,,,,,18.6,9.3,M,,,,,,39.5,235.6,M,,,,
12.4,216.2,L,,,,,,18.6,205.4,M,,,,,,40.3,319.3,L,,,,
12.4,235.6,L,,,,,,18.6,258.1,L,,,,,,41.1,77.5,L,,,,
12.4,242.6,L,,,,,,18.6,267.4,L,,,,,,41.1,269.7,L,,,,
13.2,25.6,S,,,,,,18.6,292.2,L,,,,,,41.9,38,S,,,,
13.2,79.8,S,,,,,,19.4,170.5,L,,,,,,41.9,335.6,M,,,,
13.2,92.2,M,,,,,,19.4,230.2,L,,,,,,42.6,136.4,M,,,,
13.2,153.5,L,,,,,,19.4,304.6,L,,,,,,42.6,165.9,S,,,,
13.2,158.9,S,,,,,,19.4,321.6,M,,,,,,43.4,51.9,L,,,,
13.2,210,L,,,,,,19.4,358.9,L,,,,,,43.4,117,NC,,,,
